conference,global_session,speaker,global_minute,transcript,has_new_idea,is_explanation,is_self_intro
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,organization structures and functions of the inter system. I think we probably agree that we don't really completely understand any of those.,False,False,False
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,Um that's is this help Linnea?,False,False,False
2021_04_23_MND_S4,2021_04_23_MND_S4_MND,Leah Pyter OSU,,Anything else we want to add?,False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Andrew,,"Uh, in the in the broadcast message, I inadvertently sent uh closing.",False,True,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,the breakout room's closing right now is a mistake. You guys will probably get put back in. Some a button a bad button must have been hit. This is unfortunate.,False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"All right, we'll see what happens.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"Well, we might have to try to put people back in unless this gets reversed.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,Andrew's in the main room. Some button must have gotten hit by somebody unfortunately.,False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"Yes, just open all the rooms and they'll go right back. I did. Sorry.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"Yeah, the uh I I hit return twice and it it the auto.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"Yeah, they just have to click their button to get themselves back to the room.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"She has she has two devices, one's the phone and one's her computer.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,She hasn't clicked the join button.,False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,Click the join button.,False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"Uh, he's a guest, I think.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"I had a general question for folks about um I guess the the role of the immune system and the different compartments in terms of uh intestinal macrophages and and and and microa and how they could be um kind of talking to one another independently of of anything else, like independent of the neurons, independent of of of what have you. And I know it's possible for um peripheral monocytes to make their way into the brain themselves, um and then communicate with microa. Um, and microa can um express whatever proteins they want to to get out into the the the periphery as well. I'm curious what people think about that and what you guys know about that in the context of inflammation. I I have this huge interest in this bidirectional thing. So, um, anybody have any thoughts on that at all?",False,False,True
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Jeff Thomas,,"Let me just jump in for a moment and uh remind folks that we don't have too much longer, only about five minutes or a little bit. So you guys do want to have something to put into the slides for the report out.",False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Robert Frymier Jr,,where we chop the brain up and and plate it. I I think that's that's pretty good.,False,False,False
2021_04_23_MND_S6,2021_04_23_MND_S6_MND,Robert Frymier Jr,,"So, uh no, but given that everything is leaky in a germ free mouse, um, I I just think it's just going to be all over the place. That's my guess. We know the blood brain barrier is disrupted. Uh, I don't know studies of the gut barrier, but I I'm assuming that's going to be disrupted too. Uh, we we find that the immological state is is all messed up in these germ free animals.",False,True,True
2021_05_21_ABI_S4,2021_05_21_ABI_S4_ABI,Paris Perdikaris,16.3,"Hello everyone. So my name is Paris Perdicarris and I'm assistant professor at the Department of Mechanical Engineering at the University of Pennsylvania. Um my background actually is in applied mathematics and my work is focused on developing machine learning methods and computational tools for modeling and simulation of physical and biological systems. I think most relevant to this meeting in some is some work I'm pursuing on physics based filtering of um uh in vivo MRI uh with a focus on 4D flow MRI and reconstructing blood flow and uh measurements in a way that the underlying physics is satisfied. So principles like mass and momentum conservation and then using those principles to infer auxiliary measurements that um cannot be measured by imaging such as blood pressure, uh shear stresses, um uh and so forth. So the idea there is really to understand the role of hemodynamics in determining organ function and uh you know, predicting biomarkers that are relevant to cardiovascular disease.",True,True,True
2021_06_10_SLU_S1,2021_06_10_SLU_S1_SLU,Jay Forsythe(he/him),10.633333333333333,"Yeah, um, I mean I I can't really speak too much about like like outside of our solar system. I'm I'm not as familiar with a lot of that a lot of those kind of studies. Um, in terms of the meteorite composition that we've measured just from falls on earth and then, you know, for example, like some of the ongoing work that they're doing like with the sample recovery at Benu and things like that. Like I I would expect well, um, I mean the the the and just going back to amino acids just because it's a it's a good example. Um, but this could I'm sure this applies to a lot of other organic building blocks. Um, you know, the the the the history of like a meteorite in terms of, you know, like heating and um, like melting of ice and like those those those processing cycles really can play a big role in terms of the organics that we detect, right? And so, you know, like for example, um, like all the the amino acids in our proteins are um have like an alpha carbon, right? But there are different structural isomers of amino acids and in some amino acids, you know, like like ones that have longer carbon chains are like much way more upregulated than others, right? Um, the for example like Murchison one of the reasons why that caught so much attention one one it was like really the first study but also a lot of the like alpha amino acids that we use in our proteins um are pretty upregulated in that one relative to some of the other structural isomers. But there are other there are other meteorites where it's like the complete opposite, right? And so they the like the history of those in terms of their kind of weathering and and things like like melting cycles, things like that is really plays a huge role in the content, the organic content that we detect. I also wanted to related to that. I wanted to mention um um uh smarter is it is that right? You you brought up um, you know, like deliver like net delivery versus um destruction, right? And an issue with that just experimentally like on on more like like experimental side is, you know, even if, you know, even if we do collect, you know, like a lot of a lot of meteorite on earth and we're, you know, we take it to our lab, the just the sample preparation that we perform to so that we can do organic analysis, you know, sometimes that actually could break down some of the more complex um organics that were present in there and we actually can't see them because just by just in order to extract them, you know, we have to use like really strong acid and things like that. And so, um it it could be it can there there are a lot of layers of complexity there. Um and also I I think it's important to note too that a lot of the analytical instrumentation that we send on like uh extraterrestrial rovers and things like that is quite limited compared to the instruments that we can we can use like here on earth. just because there's so many other factors that go into play, you know, you can't just, you know, you have to think about like like power requirements and weight and all these other things, right? And so, you know, like like uh, you know, one of the mass spectrometers in my research lab, you know, it's like 20 years old and it's like way out of date compared to a lot of a lot of other labs here on earth, but it's like the the the the analytical power that is actually much higher than like what's probably on these rovers that's going to like Mars and things like that, right? And so there are all these things that we have to consider which is why I'm really excited about Benu because I think that the ability for sample return is is huge. I think that that's massive. And uh I'm really excited to see what that study unfolds because I think that we'll be able to do a lot more in depth analysis of the organic content from than we can from what we're sending out elsewhere and it's not that that that stuff isn't important. It's obviously super important but there's just practically speaking there's a lot of difficulties that go into developing instrumentation for something like like a rover.",False,True,True
2021_09_30_MZT_S7,2021_09_30_MZT_S7_MZT,Daren Ginete,11.316666666666666,"Hey, I can do a brief introduction. My name is Darren. I'm the infectious disease fellow at the Science Philanthropy Alliance. It's an organization that provides advising services as well as community learning for a group of um private science funders interested in funding basic science research. So I'm excited to be here as a guest here at the SciLog to learn about the gaps in um mitigating zytic threats and how private funders would be able to help um in their capacity. So I'm excited to be here.",False,True,True
2021_10_01_MZT_S4,2021_10_01_MZT_S4_MZT,Lauren Charles,10.016666666666667,"an issue with a lot of the way we approach things, it's so much often reactive. So, you know, we find it in the host and then we say, okay, um, and we're going to mitigate it and we we all want to move sort of as far left of boom as we can, but I think this question of did we prevent something or did we not is really what is um causing us to just be more reactive than proactive in in what we do. But yeah.",True,False,False
2021_10_01_MZT_S7,2021_10_01_MZT_S7_MZT,Colin Basler,17.1,"Hi everyone, I'm Colin Basler. I'm the deputy director of the CDC's One Health Office. I'm a veterinary epidemiologist by training. I'm here just as an observer today. Um, and for my career at CDC worked on um the more on the Epi side of the house so outbreak investigations for foodborne and enteric zotic pathogens, multi-drug resistance and more recently a lot of work on uh COVID-19 spillover events in different animal populations.",True,True,True
